The world’s biggest vaccine manufacturer. #vaccine https://t.co/annDNMt5eS,2021-04-28 07:12:53,1387303791251398656,Ed Mitchell,ed19mitch,1344686503,By the sea,,Broadcaster and author. 'From Headlines to Hard Times'. Grant me the Serenity to accept the things I cannot change.,False,649,738,4285,2996,9,2013-04-11 15:46:29,https://pbs.twimg.com/profile_images/1382650685611778051/8HG0vifF_normal.jpg,True,False,en
"RT @CMLGonzalez: There are still 14,000+ #COVID19vaccine appointments available THIS WEEK through City supported clinics. 

💉Lumen Field Ev…",2021-04-28 07:02:32,1387301185296625664,Scott Windsor,swindsor,797546,Seattle,https://t.co/zRa2kLO2jt,"Professional coder, occasional startuper, and currently troublemaking at Reflective. https://t.co/h4IxIZ3z4S",False,552,377,12345,14966,70,2007-02-27 07:54:04,https://pbs.twimg.com/profile_images/1345911547017588736/BmoCwnrZ_normal.jpg,False,False,en
#COVID19 #AstraZeneca  https://t.co/g4QtqleM9o,2021-04-28 07:01:01,1387300804747431936,PRMAC_Consulting,HarassNoMore,2909381990,"Victoria, British Columbia",,"One's dignity may be assaulted, vandalized and cruelly mocked, but it can never be taken away unless it is surrendered. ~ Michael J. Fox",False,9525,8900,116752,198432,932,2014-11-24 20:01:20,https://pbs.twimg.com/profile_images/539153116193509376/8fDztDWI_normal.png,False,False,und
"RT @WADeptHealth: Need a #COVID19 #vaccine? Many appointments available this Thurs 4/29 at our Drive Thru Vaccine Clinic in Olympia, 111 Is…",2021-04-28 06:35:59,1387294507402600449,Alex Merz,Merz,14066035,Puget Sound Duwamish/Salish territory,https://t.co/SndN8Z1SyO,"Professor of Biochemistry @UW
cell bio · infectious disease · med ed

☣️ 🧬🧪🔬 🏳️‍🌈 ✊🏿 🗽 🇺🇸

Coincidences between my opinions and UW's are coincidental.",False,6397,5643,64824,85292,124,2008-03-01 19:34:58,https://pbs.twimg.com/profile_images/1314356354933424129/aPrmMkF-_normal.jpg,False,False,en
"RT @WADeptHealth: Need a #COVID19 #vaccine? Many appointments available this Thurs 4/29 at our Drive Thru Vaccine Clinic in Olympia, 111 Is…",2021-04-28 06:34:17,1387294076303593474,Terumi Pong,helloterumi,212119252,Seattle,https://t.co/pNx0iaZjPQ,"Family travel writer & twin boy mom in #seattle starting to dream about travel again and still wearing a mask, washing her hands and saying no to racism.✨📱💕",False,11054,10930,52622,27983,271,2010-11-05 05:29:24,https://pbs.twimg.com/profile_images/1254086443011432452/7QNjnDF5_normal.jpg,False,False,en
"RT @gustavohpina: The rich stay rich by spending like the poor &amp; investing,&amp; the poor stay poor by spending like the rich yet not investing…",2021-04-28 06:14:12,1387289024927240195,Pepe | XYO Diamond Hands الله أكبر,MakavelliTrader,1326427116121022464,Planet Diamond,https://t.co/b65kpI4d3B,For all of your $xyo news. Diamond Hands Productions,False,1535,2292,13923,7079,13,2020-11-11 07:30:52,https://pbs.twimg.com/profile_images/1387110857625190400/4XvLETrv_normal.jpg,True,False,en
RT @TomBanse: Yawning gaps are appearing on the @WADeptHealth data dashboard in the rate of #COVIDVaccine uptake between counties. In leadi…,2021-04-28 06:08:42,1387287639313711107,R. J. Williams,rj_rodwms,901970595197272065,"Seattle, WA",,,False,93,3844,1780,816,1,2017-08-28 00:52:02,https://pbs.twimg.com/profile_images/1275209113106935808/dp8AZvlV_normal.jpg,True,False,en
"RT @WADeptHealth: The #COVIDVaccine doesn’t give you the disease, it helps prevent it. However, you’re not fully protected until 2 weeks af…",2021-04-28 05:54:16,1387284005507063810,Dr. Cruz-Elena Sundquist,cards79,24046130,"California, USA",,"Bilingual immigrant physician, mother. Passionate about my country, my culture, healthcare and education.",False,667,4489,147661,161996,11,2009-03-12 21:46:52,https://pbs.twimg.com/profile_images/1312971878382727168/LKwDSmal_normal.jpg,True,False,en
"RT @WADeptHealth: The #COVIDVaccine doesn’t give you the disease, it helps prevent it. However, you’re not fully protected until 2 weeks af…",2021-04-28 05:40:23,1387280513317040128,DemCastJY,DemCastJY,1173813081085841409,,,#BlueWave2020 Facts Matter #DemCast #DemCastWA  Remove the orange.  #ImpeachNow #25thAmendmentNow,False,1083,2174,41891,21357,14,2019-09-17 04:17:25,https://pbs.twimg.com/profile_images/1174911803081412609/i0SjK1Uy_normal.jpg,True,False,en
#trump did long term damage to the #cdc and we are now seeing it in dropping #vaccine numbers.,2021-04-28 05:21:12,1387275685656371200,𝙎𝙏𝙧𝙚𝙚𝙩𝙋𝙃𝙤𝙩𝙤𝙅𝙤𝙪𝙧𝙣𝙖𝙡𝙞𝙨𝙢,StPhJournalism,1341147997632036865,"Seattle, WA",,"Twitter is the National Enquirer of social media, everyone screaming their thoughts in a full room.",False,23,66,310,659,0,2020-12-21 22:27:00,https://pbs.twimg.com/profile_images/1377883078903824384/8giRvO8t_normal.jpg,True,False,en
