"@StephMillerShow some sip chicken broth when ill so maybe that counts as meat-based beverage? Other than that, they’re all from plants. New cdc guidance is that fully vaccinated can go without masks outside but how does one know if a person is vaccinated? #vaccination",2021-04-27 13:54:42,1387042526213795854,Jane Jones,JaneJon54227850,1038974732962619392,"Overland Park, KS",,"Teacher, Mom, Wife of Doctor, lifelong Democrat",False,2767,3427,64011,54496,4,2018-09-10 02:17:34,https://pbs.twimg.com/profile_images/1148644585859624960/xaFJwkPS_normal.jpg,True,False,en
"I got the Pfizer vaccine. First shot, zero side effects. Second shot, slightly sore arm? That's it. Worth it even if I had a fever and terrible side effects. Feeling relieved and free. #GetVaccinated",2021-04-27 13:12:36,1387031928143028228,Beth B,BethB3,23324310,"Kansas City, Mo",,Pun manager. Former radio reporter/ DJ. Communicator. Pets all the dogs. @thetypingpool1 singer in #normaltimes. Personal account/opinions. She/her. 🌈,False,951,1645,2811,5254,31,2009-03-08 16:32:24,https://pbs.twimg.com/profile_images/1362203910677557249/5BH9F_a3_normal.jpg,False,False,en
"It's been two weeks since my second vaccine dose, so now I'm fully vaccinated! #FeelingGood #vaccinated",2021-04-27 13:07:55,1387030749073784832,Nick Starling,NickStarlingTV,476390447,"Kansas City, MO",,Reporter at @41ActionNews in #KCMO. @UNLincoln grad. Political nerd. ☕️ addict. Corgi/Border Collie dad🐶. Traveler.OH-IL-TX-NE-DC-NE-MO. nick.starling@kshb.com,True,2793,1978,5935,17550,93,2012-01-28 02:47:09,https://pbs.twimg.com/profile_images/1293049862007791617/Ofss6TQl_normal.jpg,False,False,en
"RT @Dr_A_Edwards: We had two #Pfizer vaccines left today and no arms to put them in, so I set off after work and found two bartenders near…",2021-04-27 12:16:27,1387017797004406786,John R,Bikingisfun2,427856281,"Topeka, KS",,America works best when we say Union - Hell YES!,False,683,252,168190,88026,2,2011-12-04 02:02:22,https://pbs.twimg.com/profile_images/1372920560687190016/8BEaLlH__normal.jpg,False,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 07:49:20,1386950578761342983,Jistlab,Jistlab,410202637,Oduduwa,https://t.co/KM4tKrDJ1A,🌤🇺🇸IG ~ JISTLAB,False,357,65,76143,94729,0,2011-11-11 19:45:26,https://pbs.twimg.com/profile_images/1317659872977104897/14_98J48_normal.jpg,True,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 07:05:36,1386939572878200832,Dream_chaiser,PRECIOUS_B07,1174867117637820416,"Edo, Nigeria",,"IT Enthusiast, Baker, Automobile engineer....
#Dreamchaser#
My apologies if I don't say what you expect to hear. The truth is my formal Language.",False,445,749,13127,4177,0,2019-09-20 02:05:38,https://pbs.twimg.com/profile_images/1332425803028631556/Kg-0J9W9_normal.jpg,True,False,en
@MichaelArt123 I had meatloaf for supper. A pot roast is thawing in the fridge for later this week. Republicans are just weirdly stupid. They find something new every day to be stupid about. Meanwhile I’m #vaccinated #Happy &amp; Having A Meatloaf 😳🤣,2021-04-27 05:45:00,1386919285663191042,DrVATechMom,Alt_DDESS,860176890522476545,"Kansas City, MO",,Stubbornness is a virtue. It's like persistence but less polite. #WearAMask #KCMO #MentalHealth #BuildBackBetter #ExpelHawleyMO,False,3170,4996,79712,21399,3,2017-05-04 16:58:46,https://pbs.twimg.com/profile_images/1327494849919119360/TO1ArvLO_normal.jpg,True,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 04:21:47,1386898343960457217,Olayinka Sodipo ACA,Greater_YK,1273520123219972097,Lagos ,,"Experience Chartered Accountant , Manager Biz Development @Swis https://t.co/h9ajzmsXiE . Distributor of Floor/Wall  Tiles . Plumbing and Building Materials .",False,70,413,1508,3740,0,2020-06-18 07:37:47,https://pbs.twimg.com/profile_images/1273520591795077120/mV842UAv_normal.jpg,True,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 04:05:07,1386894152340754439,Tiamiyu Zainab,zainab__tiamiyu,2833746839,Nigeria ,https://t.co/WaAjgsuYzJ,Student||Biochemistry and Molecular Biology FUDMA||Science lab Tech KP||Baker||@ChelseaFC||Computer literate||,False,4446,2030,76440,37667,9,2014-10-16 10:04:31,https://pbs.twimg.com/profile_images/1345846371086118915/oDNksT2p_normal.jpg,True,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 04:01:39,1386893280571535360,Akeem Alimi,alimidapo52,3189767932,Nigeria,,"Internet Marketer,Affiliate Marketer,Graphic Designer,Civil Servant",False,564,2668,5526,9093,1,2015-04-21 07:17:25,https://pbs.twimg.com/profile_images/722149313187549185/4wUi5Jwt_normal.jpg,True,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 03:45:56,1386889323631501314,Evangelist obayelu rotimi,raph_nugget,82013024,Lagos nigeria +2348067781689,https://t.co/LovNMuqTTv,inspiration change the attitude of a man I support arsenal football club,False,213,316,18433,19315,2,2009-10-13 04:42:45,https://pbs.twimg.com/profile_images/1355094434468290568/w7-7ck2d_normal.jpg,False,False,en
"RT @DrOlubamiji: I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Mo…",2021-04-27 03:40:53,1386888052317081606,Chinaza Vivian,NwaAdaIgbo1,1344662466282795011,,,"Entrepreneur, Linguist, Ada Igbo",False,385,623,3494,17085,0,2020-12-31 15:11:44,https://pbs.twimg.com/profile_images/1381512259634135042/sLZPxpSl_normal.jpg,True,False,en
"I got my Moderna #Vaccine

Looks like we will be living our best lives on a beacation this summer! 

The development of Moderna was led by a black woman. No, a black super-hero! 

Black scientists are super-heroes! Anyone saying they don’t want us is sure losing out. https://t.co/GVSwdX53Dp",2021-04-27 03:40:20,1386887916115435520,Dr. Adeola (Addy) Olubamiji,DrOlubamiji,68395570,USA / Canada,https://t.co/hCKW4fxIDl,"Director,@desktopmetal|Founder,@stemhub_|Canada's Top 100 Most Powerful Women|STEP Awards Honoree|RBC Top 25 Canadian Immigrant|TEDx Speaker",False,52598,737,3874,4583,91,2009-08-24 12:29:07,https://pbs.twimg.com/profile_images/1359340011364241416/kxCp21lS_normal.jpg,False,False,en
